OrderItemID,OrderID,ProductID,Quantity,PricePerUnit
5001,2001,1001,2,10.99
5002,2001,1004,1,25.99
5003,2002,1003,3,8.99
5004,2003,1002,1,15.49
5005,2003,1005,2,12.99
5006,2004,1006,1,299.99
5007,2004,1007,1,1099.99
5008,2005,1008,2,89.99
5009,2005,1009,1,49.99
5010,2006,1010,5,5.99
5011,2006,1011,2,59.99
5012,2007,1012,1,39.99
5013,2007,1013,1,199.99
5014,2008,1014,3,14.99
5015,2008,1015,1,29.99
5016,2009,1016,2,129.99
5017,2009,1017,1,24.99
5018,2010,1018,1,79.99
5019,2010,1019,2,18.99
5020,2011,1020,1,34.99
